Asdrubal Cabrera, asdrubal-cabrera-452678
Genesis Cabrera, genesis-cabrera-650893
Miguel Cabrera, miguel-cabrera-408234
Trevor Cahill, trevor-cahill-502239
Lorenzo Cain, lorenzo-cain-456715
Kole Calhoun, kole-calhoun-594777
Willie Calhoun, willie-calhoun-641432
Johan Camargo, johan-camargo-622666
Daz Cameron, daz-cameron-663662
Luis Campusano, luis-campusano-669134
Jeimer Candelario, jeimer-candelario-600869
Mark Canha, mark-canha-592192
Griffin Canning, griffin-canning-656288
Robinson Cano, robinson-cano-429664
Victor Caratini, victor-caratini-605170
Dylan Carlson, dylan-carlson-666185
Matt Carpenter, matt-carpenter-572761
Carlos Carrasco, carlos-carrasco-471911
Cody Carroll, cody-carroll-606944
Curt Casali, curt-casali-592200
Daniel Castano, daniel-castano-641447
Ryan Castellani, ryan-castellani-624418
Humberto Castellanos, humberto-castellanos-528748
Nick Castellanos, nick-castellanos-592206
Diego Castillo, diego-castillo-650895
Luis Castillo, luis-castillo-622491
Anthony Castro, anthony-castro-621593
Harold Castro, harold-castro-605612
Jason Castro, jason-castro-488771
Miguel Castro, miguel-castro-612434
Starlin Castro, starlin-castro-516770
Willi Castro, willi-castro-650489
Jake Cave, jake-cave-595909
Dylan Cease, dylan-cease-656302
Blake Cederlind, blake-cederlind-664977
Francisco Cervelli, francisco-cervelli-465041
Yoenis Cespedes, yoenis-cespedes-493316
Luis Cessa, luis-cessa-570666
Jhoulys Chacin, jhoulys-chacin-468504
Andrew Chafin, andrew-chafin-605177
Yu Chang, yu-chang-644374
Aroldis Chapman, aroldis-chapman-547973
Matt Chapman, matt-chapman-656305
Tyler Chatwood, tyler-chatwood-543022
Jesse Chavez, jesse-chavez-445926
Michael Chavis, michael-chavis-656308
Robinson Chirinos, robinson-chirinos-455139
Yonny Chirinos, yonny-chirinos-630023
Jazz Chisholm, jazz-chisholm-665862
Ji-Man Choi, ji-man-choi-596847
Shin-Soo Choo, shin-soo-choo-425783
Adam Cimber, adam-cimber-643256
Steve Cishek, steve-cishek-518553
Jose Cisnero, jose-cisnero-542585
Aaron Civale, aaron-civale-650644
Taylor Clarke, taylor-clarke-664199
Alex Claudio, alex-claudio-592222
Garrett Cleavinger, garrett-cleavinger-664076
Mike Clevinger, mike-clevinger-605182
Tyler Clippard, tyler-clippard-461325
Alex Cobb, alex-cobb-502171
Kyle Cody, kyle-cody-621129
A.J. Cole, a-j-cole-595918
Gerrit Cole, gerrit-cole-543037
Edwar Colina, edwar-colina-666674
Zack Collins, zack-collins-641470
Alex Colome, alex-colome-517008
Christian Colon, christian-colon-518568
Michael Conforto, michael-conforto-624424
William Contreras, william-contreras-661388
Willson Contreras, willson-contreras-575929
Sam Coonrod, sam-coonrod-656322
Garrett Cooper, garrett-cooper-643265
Patrick Corbin, patrick-corbin-571578
Ryan Cordell, ryan-cordell-641477
Franchy Cordero, franchy-cordero-614173
Jimmy Cordero, jimmy-cordero-622772
Carlos Correa, carlos-correa-621043
Nestor Cortes, nestor-cortes-641482
Danny Coulombe, danny-coulombe-543056
Dylan Covey, dylan-covey-592229
Will Craig, will-craig-643269
Brandon Crawford, brandon-crawford-543063
J.P. Crawford, j-p-crawford-641487
Stefan Crichton, stefan-crichton-592233
Kyle Crick, kyle-crick-605195
Nabil Crismatt, nabil-crismatt-622503
Garrett Crochet, garrett-crochet-676979
C.J. Cron, c-j-cron-543068
Kevin Cron, kevin-cron-605196
Jake Cronenworth, jake-cronenworth-630105
Wil Crowe, wil-crowe-640444
Jesus Cruz, jesus-cruz-672911
Nelson Cruz, nelson-cruz-443558
Johnny Cueto, johnny-cueto-456501
Charlie Culberson, charlie-culberson-518586
John Curtiss, john-curtiss-595928
Cheslor Cuthbert, cheslor-cuthbert-596144
Travis d'Arnaud, travis-d-arnaud-518595
David Dahl, david-dahl-621311
Bobby Dalbec, bobby-dalbec-666915
Yu Darvish, yu-darvish-506433
Matt Davidson, matt-davidson-571602
Tucker Davidson, tucker-davidson-656353
Zach Davies, zach-davies-605200
Austin Davis, austin-davis-656354
Chris Davis, chris-davis-448801
J.D. Davis, j-d-davis-605204
Jaylin Davis, jaylin-davis-664041
Jonathan Davis, jonathan-davis-641505
Khris Davis, khris-davis-501981
Wade Davis, wade-davis-451584
Grant Dayton, grant-dayton-594795
Chase De Jong, chase-de-jong-608328
Jose De Leon, jose-de-leon-592254
Austin Dean, austin-dean-621573
Jacob deGrom, jacob-degrom-594798
Paul DeJong, paul-dejong-657557
Miguel Del Pozo, miguel-del-pozo-600887
Nicky Delmonico, nicky-delmonico-547170
Travis Demeritte, travis-demeritte-641513
Matt Dermody, matt-dermody-571616
Anthony DeSclafani, anthony-desclafani-543101
Delino DeShields, delino-deshields-592261
Ross Detwiler, ross-detwiler-446321
Chris Devenski, chris-devenski-606965
Rafael Devers, rafael-devers-646240
Aledmys Diaz, aledmys-diaz-649557
Edwin Diaz, edwin-diaz-621242
Elias Diaz, elias-diaz-553869
Isan Diaz, isan-diaz-656371
Jairo Diaz, jairo-diaz-545064
Lewin Diaz, lewin-diaz-650331
Yandy Diaz, yandy-diaz-650490
Alex Dickerson, alex-dickerson-543105
Corey Dickerson, corey-dickerson-572816
Phillip Diehl, phillip-diehl-670426
Jake Diekman, jake-diekman-518617
Derek Dietrich, derek-dietrich-518618
Wilmer Difo, wilmer-difo-594694
Brandon Dixon, brandon-dixon-641525
Randy Dobnak, randy-dobnak-677976
Rafael Dolis, rafael-dolis-503569
Josh Donaldson, josh-donaldson-518626
Sean Doolittle, sean-doolittle-448281
Tommy Doyle, tommy-doyle-656382
Brian Dozier, brian-dozier-572821
Hunter Dozier, hunter-dozier-641531
Oliver Drake, oliver-drake-543118
Brandon Drury, brandon-drury-592273
Mauricio Dubon, mauricio-dubon-643289
Tyler Duffey, tyler-duffey-608648
Danny Duffy, danny-duffy-518633
Steven Duggar, steven-duggar-621453
Robert Dugger, robert-dugger-667498
Justin Dunn, justin-dunn-643290
Dane Dunning, dane-dunning-641540
Adam Duvall, adam-duvall-594807
Jarrod Dyson, jarrod-dyson-502481
Adam Eaton, adam-eaton-594809
Tommy Edman, tommy-edman-669242
Carl Edwards Jr., carl-edwards-jr-605218
Zach Eflin, zach-eflin-621107
Brett Eibner, brett-eibner-518649
Seth Elledge, seth-elledge-676220
Edwin Encarnacion, edwin-encarnacion-429665
Adam Engel, adam-engel-641553
Nathan Eovaldi, nathan-eovaldi-543135
Robbie Erlin, robbie-erlin-572362
Phillip Ervin, phillip-ervin-640447
