**AMERICAN LEAGUE**
--EAST--
Baltimore Orioles
Boston Red Sox
New York Yankees
Tampa Bay Rays
Toronto Blue Jays
--CENTRAL--
Chicago White Sox
Cleveland Indians
Detroit Tigers
Kansas City Royals
Minnesota Twins
--WEST--
Houston Astros
Los Angeles Dodgers
Oakland Athletics
Seattle Mariners
Texas Rangers
**NATIONAL LEAGUE**
--EAST--
Atlanta Braves
Miami Marlins
New York Mets
Philadelphia Phillies
Washington Nationals
--CENTRAL--
Chicago Cubs
Cincinnati Reds
Milwaukee Brewers
Pittsburgh Pirates
St. Louis Cardinals
--WEST--
Arizona Diamondbacks
Colorado Rockies
Los Angeles Angels
San Diego Padres
San Francisco Giants
